AttuNet,FCN,PoFormer,LRASPP,E-Net,U-Net
30.40241852,45.04526263,23.93895088,25.12115842,28.1330263,27.17227122
25.34604087,38.50969273,16.14172156,18.15360773,24.58591995,22.51925421
22.96616971,34.86050522,14.10268386,16.13715571,23.68887913,21.08085936
20.81740427,32.14389199,13.02919672,14.99322,22.8640624,19.89842293
19.83595967,30.13136065,13.98992215,13.80145383,22.05682397,19.24962631
19.26073408,28.31862938,12.29765947,13.56955415,21.15863475,18.79503499
17.96278274,27.25994506,11.14922789,13.14991418,20.22631511,17.47522663
17.3295754,26.28571758,11.1930058,12.22128196,19.94846168,17.05852833
16.89004628,24.96795806,10.88544799,11.50861163,19.24618314,16.59720142
17.62328868,24.03947559,10.21339352,11.54440154,18.7867188,16.65911014
16.36688496,23.4569917,9.315415602,10.74710658,18.21609405,15.91193064
16.11942503,22.77838993,9.021761499,10.42296161,17.42763524,15.38144302
15.68472463,22.23657382,8.572432831,10.42112426,17.35678762,15.60705163
15.15819556,21.65553838,8.645430326,9.923238814,16.79181643,16.18300354
15.43907376,21.41385382,8.278312027,10.16276443,16.43370223,17.33613627
14.94738077,21.00529945,7.618338831,9.434931882,15.96607669,15.42168312
14.55337211,20.72006306,9.401795819,9.334010847,15.93170977,15.33737041
15.61609998,20.51942483,8.63656535,9.315695614,15.50765707,14.57258882
14.11015126,20.51149479,8.10268341,8.987747945,15.33910543,15.26613998
13.75957051,19.92130984,7.007448412,8.721953414,14.84698004,15.93003584
13.39582025,19.6563344,7.4738096,8.534291089,14.691985,15.06719871
13.83564205,19.27981763,7.255675226,8.310938567,14.56161454,14.38325112
13.38585585,19.54193693,7.068432726,8.236531138,14.16820969,14.44718578
13.06155045,19.15517215,6.550684586,8.376992457,13.83284871,14.2542337
13.31163312,19.37402999,6.268060647,8.358248107,14.3375487,14.06249219
12.98271671,19.63310379,6.120439745,7.872043915,13.94734065,14.3248616
12.47202399,19.46201009,6.064491302,7.558459897,13.27594355,13.83933659
13.08147925,18.53140321,6.140100591,7.442037649,13.3571513,13.93407989
12.47720131,18.42695001,6.376127861,7.522178881,13.0433585,13.49791741
12.17961283,18.61259495,6.274900869,7.243318699,13.16197836,13.76149219
12.39236641,18.48066624,6.431052804,7.292319298,12.99560041,13.23767686
12.0382406,18.47871812,5.900362439,7.636107892,12.42958319,13.31010978
11.62534016,18.19597557,5.590704571,7.742214829,12.06701641,13.46107458
12.08366551,18.18725097,5.13216304,7.189085506,11.94982556,13.28750412
11.78782551,17.90723951,4.912715517,7.040590025,12.18443915,13.18857196
11.40969695,17.82760915,4.986133777,6.78274297,12.12070881,13.05456828
12.236636,17.73072118,5.138909016,6.64898004,11.65745211,12.84203255
12.11943303,17.94894743,4.90808586,6.904483013,11.77082321,12.63032666
11.29221179,17.64024553,5.013923161,6.846431501,11.26307812,12.43238977
11.05801228,17.6405635,5.316986918,7.328940444,10.83854488,13.16171122
11.18679589,17.48049454,4.735998053,9.221766107,11.20597684,12.94098765
11.32019714,17.83893254,4.68336869,6.824892744,10.87056626,13.02883242
10.3009424,17.29256332,4.611884255,6.46694573,11.6483468,12.43151993
10.28336917,17.20191729,5.178021412,6.198343709,11.03035928,12.22147211
10.91698736,17.21540341,5.347192265,7.511244304,10.88785538,11.94549815
9.977133103,16.9440413,4.624352265,6.328843556,10.31884911,12.71490483
9.859385863,16.7612654,4.035208281,7.336064234,10.41394331,12.35508776
9.738386795,16.79103532,4.142074525,6.436967656,10.18610191,11.93968177
10.51933521,17.16333447,4.598582249,6.212436542,9.898911148,11.88895333
9.52245947,17.35371992,4.693326037,6.218972676,10.15882685,11.90597704
9.754002668,16.74396357,4.724145729,6.12821842,10.08592597,12.21587861
9.234931156,16.88231601,4.224352103,6.24829939,9.909387119,11.80959208
9.482032225,16.49032819,4.056811683,6.028119251,9.927723102,11.36674146
9.999028049,16.6605743,3.844676692,5.916809089,9.972467899,11.1452923
10.40986302,16.44181669,3.681036364,5.930688635,9.047350578,11.54189561
9.7567515,16.37035306,3.687110778,5.746605378,9.317692302,10.90311797
9.835874036,16.32408367,4.410827328,5.930472404,9.02584552,11.22066064
8.84768001,16.33477774,4.812736183,7.129198954,9.360054672,10.91738352
9.763146259,16.11275148,4.855058715,6.241921827,9.476996787,10.61937182
8.360361032,16.18346408,4.142022867,6.202158988,9.022614256,10.61000744
8.174932376,16.14265056,4.293149363,5.666898824,8.97417289,10.74496375
8.272330061,16.70831604,3.864603098,5.53851331,8.682797775,11.34729493
8.998014741,16.57131077,3.943786006,5.531360842,8.529693805,11.84086528
9.106218345,15.82541488,5.662440527,5.55063314,8.87707483,12.74198918
9.083520837,15.82840091,4.643138193,5.954087414,9.0073044,10.46163186
7.813697219,16.18886574,3.722603533,5.74517183,8.685768493,10.6561954
7.740851909,16.21696061,3.710806657,5.450212143,8.366936795,10.08263302
7.934953243,15.80427559,3.84392041,6.16075401,8.315672375,10.78962246
7.530090488,15.78312397,3.402265206,5.60451977,8.381143071,11.45721579
7.287273243,15.59735005,3.267132286,5.541951142,8.207030281,10.00814416
7.068804048,15.54779515,3.611798286,5.652262852,7.865424976,10.36714052
7.924582586,15.7394574,3.584473278,5.386973314,7.904196605,10.84837355
7.941596061,15.53836179,3.389435548,5.366734326,7.910699196,9.604216486
8.273709677,15.41892783,3.501032617,5.270558406,7.81264881,9.071531743
7.425590783,15.67377183,3.410367806,5.172854558,7.49010291,9.072444759
6.847167514,15.2836,3.448500913,5.177545737,7.576670028,9.747898154
6.59175409,15.30812526,3.463109802,5.588077344,7.898925848,9.431455322
7.342616528,15.63589722,3.397080492,5.237752907,7.889596239,9.441559941
7.860780105,14.71646572,3.468180571,5.353356466,7.620299883,9.499549016
6.806975253,14.83417207,3.168413509,5.203098677,7.198812529,9.25451459
6.160068288,15.4186759,3.339855339,5.230460212,7.076144293,9.001009852
6.56080962,15.06653303,3.704638589,5.150785655,7.228183568,8.854490846
6.958816551,15.23695643,3.432159137,5.011807919,7.091597036,8.652784675
6.489926666,15.19267462,3.718672771,4.861331865,7.164424933,8.968577705
6.252669428,14.91561693,3.181462277,4.948743761,7.113441549,8.69476974
7.244985662,15.46683966,3.358262137,4.881754704,6.932186916,8.35005872
8.449607402,15.06488669,3.237622961,4.931293093,6.887857012,10.07712927
8.636092246,14.81392649,3.568342358,4.868118204,6.685931988,8.317809701
6.65256913,14.50808035,3.254561421,4.836743522,6.856334947,7.83636
6.371492408,14.40463401,3.260237396,4.820537515,7.36168135,7.836980745
6.354953356,14.54508512,3.063705295,4.775701288,7.822711468,8.375118703
5.879439086,14.62960567,3.164876893,4.772539336,6.606932674,8.471324407
5.881467976,14.58173151,3.458214689,4.945159972,6.333683565,10.07671127
6.195329838,15.15157546,2.882254407,4.962647032,6.321462564,8.995808885
5.880079091,14.68897593,2.823045474,4.689464554,6.517923824,7.536519155
6.269798335,14.59432971,2.89965786,4.905734252,7.059914738,8.100221597
5.976612583,14.70842734,3.283629872,4.718863372,6.494518951,8.023370214
6.872097999,14.75565919,2.880593941,4.938579388,6.51629585,7.611239381
6.140483387,14.28549038,3.104148181,4.751736876,6.224271692,8.177883048
8.087743938,14.28289582,3.232795794,5.029768974,6.634434618,7.031971738
5.773173623,13.95151967,2.747057198,4.864965819,6.413285717,7.123454526
5.646759659,14.10772505,2.964126764,4.782130674,6.060333505,7.121707559
6.582205623,13.98001507,3.541868534,4.722123552,6.113131411,7.745248407
5.709872864,14.18321168,3.409468062,4.785356738,5.944914449,7.305384316
5.570273411,13.86047179,2.881424073,4.579590019,6.34605965,6.910515517
5.228366818,13.9150787,2.648547251,4.582813885,6.669039622,7.257890537
6.962993301,15.63186949,2.503016047,4.35183223,6.485987455,8.337478735
5.32404463,13.96215448,2.464166123,4.503400695,6.216691159,6.7016057
5.002029903,13.96367124,6.075768108,4.573638789,5.85518077,6.798472881
5.000378847,13.7039855,3.397876441,4.572244912,5.848312922,6.594614096
4.777046628,13.85037795,2.893186374,4.64127402,6.000735857,6.599114515
5.040397722,14.55972864,3.272747453,4.799740437,6.632303394,6.465846948
7.757857583,13.56140199,2.624177478,4.585645612,5.587080523,6.331567653
7.285988227,13.71856982,2.466440314,4.438025404,6.282489389,6.307184786
5.499093141,13.5733791,2.657289138,4.357062541,6.993440628,6.456062969
4.97041985,13.76867144,2.426509617,4.322636552,5.767977998,6.469778389
4.7515615,13.72991376,2.585438969,4.688145649,5.46647419,6.089855596
4.803665463,13.2543059,3.074505575,4.664336309,5.524494387,6.094863683
5.07379172,13.53710088,3.160917092,4.340046182,5.625831664,6.385631278
5.252172537,13.77908298,2.904268403,4.211189285,5.835233983,5.755028449
6.292618141,13.39517948,2.702568866,4.196207166,5.442033127,5.806340344
7.569967635,13.88026166,2.521819174,5.445552673,5.274032131,5.744948052
5.625934966,13.5403524,2.354999525,4.625567582,5.479543656,6.261117302
5.537200093,13.23596145,2.475770345,4.439247191,5.354332633,8.155217104
4.638204936,13.35967639,2.717734564,4.348200161,5.157536864,6.254033141
4.335084204,13.06107789,2.909309855,4.204935756,5.065115526,6.791328564
4.535552695,12.98219995,3.468067097,4.281543519,5.49162893,9.258299574
4.396954678,13.08193833,2.769397313,4.23944781,6.367844161,6.467241228
4.670439932,13.09128866,2.615357835,4.413657226,6.211585656,5.565667063
4.998121455,13.38504736,2.421726234,4.298506916,5.336894475,5.491148531
5.038165521,12.9906494,2.489084547,4.375454869,5.040422235,5.387524202
4.737041637,12.99225396,2.414995341,4.076432139,4.908746537,5.287693216
4.804158572,13.14821431,2.512989309,4.128315318,4.916966114,5.388532657
4.614669632,13.09021451,2.354225131,4.050623018,5.136610463,5.470323823
5.654113233,13.4304141,2.470226673,3.904911296,5.114436045,5.280684844
6.52926736,12.74448927,2.537934305,4.238049004,5.244397506,5.225600362
5.290092785,13.26815699,2.936597206,4.102322485,5.213554546,5.429980457
4.395487346,13.48747212,2.555788765,4.482621673,4.961249866,5.470878176
4.663124979,12.74079949,2.286893032,4.219471589,5.159918286,5.351626173
5.71431892,12.86377503,2.383790715,4.295396619,5.640760802,7.274599455
5.525636777,13.30594182,2.400110837,4.125040285,5.34443035,7.945814937
6.679567143,13.0688573,2.38045715,4.89451478,4.873517781,6.290923048
5.15700895,12.7414839,2.473765546,4.584329411,4.926092867,5.142323297
4.194522154,12.92473282,2.364502413,5.098865733,4.668579727,6.358562805
4.107441895,13.11821425,2.416907329,4.468293861,4.79535424,5.40461155
4.149735548,12.38834488,2.423145218,4.34507104,4.913591105,4.90330917
4.278615218,13.0973503,2.533535816,4.123783,4.517814755,4.737210836
4.244794119,12.86035472,2.402130065,3.857611421,4.558916885,5.101988144
5.778207462,12.56461686,2.558273017,3.898707841,4.730534159,6.113827288
4.292251345,12.44225225,2.880525729,4.12700855,4.817429911,6.294277221
5.406529982,12.55330372,2.711033795,3.942847185,4.864922147,6.189715348
4.532422043,12.94423057,2.318854116,3.8174963,4.798502572,4.976266567
