Filename,Number of White Blocks
1.png,1
10.png,4
100.png,1
1000.png,1
1001.png,10
1002.png,1
1003.png,3
1004.png,4
1005.png,9
1006.png,1
1007.png,1
1008.png,1
1009.png,1
101.png,1
1010.png,1
1011.png,1
1012.png,4
1013.png,4
1014.png,2
1015.png,1
1016.png,2
1017.png,1
1018.png,1
1019.png,1
102.png,3
1020.png,1
1021.png,4
1022.png,1
1023.png,1
1024.png,1
1025.png,1
1026.png,1
1027.png,1
1028.png,1
1029.png,2
103.png,2
1030.png,2
1031.png,1
1032.png,2
1033.png,1
1034.png,1
1035.png,1
1036.png,6
1037.png,1
1038.png,1
1039.png,1
1040.png,1
1041.png,5
1042.png,1
1043.png,3
1044.png,2
1045.png,1
1046.png,1
1047.png,1
1048.png,2
1049.png,1
1050.png,1
1051.png,1
1052.png,1
1053.png,1
1054.png,2
1055.png,1
1056.png,1
1057.png,1
1058.png,1
1059.png,1
1060.png,1
1061.png,1
1062.png,1
1063.png,1
1064.png,2
1065.png,1
1066.png,2
1068.png,1
1069.png,2
1070.png,1
1071.png,1
1072.png,5
1073.png,1
1074.png,1
1075.png,1
1076.png,1
1077.png,1
1078.png,1
1079.png,1
108.png,1
1080.png,3
1081.png,1
1082.png,2
1083.png,5
1084.png,1
1085.png,1
1086.png,2
1087.png,1
1088.png,1
1089.png,1
1090.png,1
1091.png,1
1092.png,1
1093.png,1
1094.png,1
1095.png,2
1096.png,1
1097.png,1
1098.png,1
1099.png,1
11.png,1
110.png,1
1100.png,1
1101.png,1
1102.png,1
1103.png,1
1104.png,1
1105.png,1
1106.png,1
1107.png,1
1108.png,1
1109.png,1
111.png,2
1110.png,4
1111.png,4
1112.png,4
1113.png,1
1114.png,2
1115.png,2
1116.png,2
1117.png,1
1118.png,2
1119.png,3
1120.png,6
1121.png,2
1122.png,4
1123.png,4
1125.png,1
1127.png,4
1128.png,1
1129.png,1
1130.png,3
1131.png,1
1132.png,6
1133.png,1
1134.png,5
1135.png,5
1136.png,6
1137.png,2
1138.png,1
1139.png,1
114.png,1
1140.png,1
1141.png,1
1142.png,1
1143.png,1
1144.png,3
1145.png,1
1146.png,1
1147.png,1
1148.png,1
1149.png,2
1150.png,1
1151.png,1
1152.png,1
1153.png,8
1154.png,1
1155.png,4
1156.png,1
1157.png,4
116.png,1
1160.png,3
1161.png,3
1162.png,2
1166.png,1
1167.png,1
1168.png,1
1169.png,1
1171.png,1
1172.png,4
1173.png,1
1174.png,1
1175.png,1
1176.png,2
1177.png,1
1178.png,11
1179.png,2
118.png,1
1180.png,2
1181.png,1
1182.png,3
1183.png,1
1184.png,3
1185.png,9
1186.png,1
1187.png,1
1188.png,1
1189.png,2
1190.png,1
1191.png,1
1192.png,5
1193.png,4
1194.png,6
1195.png,8
1197.png,1
1198.png,1
1199.png,1
12.png,1
1200.png,1
1201.png,2
1202.png,1
1203.png,1
1204.png,1
1205.png,1
1206.png,2
1207.png,5
1211.png,1
1212.png,6
1213.png,1
1214.png,4
1215.png,1
1216.png,3
1217.png,2
1218.png,2
1219.png,1
122.png,1
1220.png,1
1221.png,1
1223.png,6
1226.png,1
1227.png,1
1228.png,3
123.png,1
1231.png,3
1237.png,1
1238.png,1
1239.png,1
124.png,1
1240.png,4
1241.png,2
1242.png,1
1244.png,2
1245.png,1
1246.png,1
1247.png,1
1249.png,2
125.png,2
1250.png,5
1251.png,1
1252.png,7
1253.png,2
1254.png,3
1255.png,2
1256.png,3
1257.png,1
1259.png,1
126.png,1
1260.png,1
1261.png,2
1262.png,1
1263.png,1
1264.png,2
1265.png,1
1266.png,5
1267.png,1
128.png,1
13.png,9
131.png,1
132.png,1
133.png,1
134.png,1
135.png,1
136.png,1
137.png,1
138.png,4
139.png,2
14.png,3
141.png,1
142.png,1
143.png,1
144.png,1
145.png,1
146.png,1
148.png,1
149.png,1
15.png,1
150.png,2
151.png,1
153.png,1
154.png,2
155.png,1
156.png,1
157.png,2
158.png,1
159.png,4
16.png,2
163.png,4
164.png,1
165.png,2
166.png,2
167.png,2
168.png,2
169.png,1
17.png,1
171.png,1
172.png,2
173.png,3
174.png,1
175.png,1
176.png,1
177.png,1
178.png,5
179.png,2
18.png,1
180.png,1
181.png,1
183.png,2
184.png,2
185.png,2
186.png,1
188.png,1
189.png,1
19.png,2
190.png,11
191.png,1
192.png,2
193.png,1
194.png,3
196.png,5
197.png,1
198.png,1
2.png,1
20.png,2
200.png,1
201.png,1
203.png,1
204.png,2
206.png,2
207.png,1
208.png,2
209.png,1
21.png,4
211.png,1
213.png,2
215.png,1
216.png,1
217.png,4
218.png,1
219.png,2
22.png,5
220.png,1
221.png,3
222.png,1
223.png,5
224.png,1
225.png,2
226.png,4
227.png,3
228.png,1
229.png,3
230.png,2
231.png,1
232.png,4
233.png,1
234.png,2
235.png,4
236.png,2
237.png,3
238.png,1
239.png,1
24.png,6
240.png,2
241.png,1
242.png,1
243.png,1
244.png,2
245.png,4
246.png,1
247.png,1
248.png,1
249.png,1
25.png,1
250.png,1
251.png,2
252.png,3
253.png,1
254.png,2
255.png,1
256.png,1
257.png,1
258.png,1
259.png,1
26.png,2
260.png,6
261.png,2
262.png,3
263.png,2
264.png,1
265.png,2
266.png,2
267.png,2
268.png,1
269.png,5
27.png,3
270.png,1
271.png,2
272.png,3
273.png,2
274.png,1
275.png,2
276.png,1
277.png,2
279.png,1
28.png,1
280.png,2
281.png,3
282.png,2
283.png,1
284.png,1
285.png,2
286.png,7
287.png,1
288.png,1
289.png,1
29.png,1
290.png,1
291.png,1
292.png,4
293.png,2
294.png,1
296.png,2
297.png,1
298.png,1
299.png,1
3.png,2
30.png,2
300.png,1
302.png,1
303.png,1
304.png,1
305.png,1
306.png,1
307.png,4
308.png,2
309.png,5
31.png,7
310.png,3
311.png,2
312.png,1
313.png,3
314.png,1
315.png,1
316.png,2
317.png,7
318.png,1
319.png,2
32.png,2
320.png,2
321.png,2
322.png,4
323.png,1
324.png,3
325.png,1
326.png,1
327.png,3
328.png,4
329.png,1
33.png,1
330.png,1
331.png,2
332.png,1
333.png,5
334.png,1
335.png,2
336.png,2
337.png,4
338.png,6
339.png,1
34.png,1
340.png,1
341.png,1
342.png,2
343.png,2
344.png,2
345.png,1
346.png,2
347.png,1
348.png,1
349.png,1
35.png,1
350.png,1
351.png,1
352.png,1
353.png,2
355.png,1
356.png,3
357.png,1
358.png,1
359.png,1
36.png,1
360.png,1
361.png,2
362.png,1
363.png,1
364.png,1
366.png,1
367.png,2
368.png,1
37.png,1
370.png,2
371.png,3
372.png,3
373.png,1
374.png,1
375.png,1
376.png,2
377.png,1
378.png,4
379.png,10
380.png,1
381.png,2
382.png,1
383.png,1
384.png,1
385.png,2
386.png,3
387.png,2
388.png,1
389.png,2
390.png,1
391.png,4
392.png,1
393.png,1
394.png,3
395.png,2
396.png,2
397.png,3
398.png,1
399.png,3
4.png,4
40.png,1
400.png,3
401.png,2
402.png,2
403.png,3
404.png,2
405.png,3
406.png,1
407.png,3
408.png,3
409.png,1
41.png,1
410.png,1
411.png,1
412.png,7
413.png,2
414.png,1
415.png,1
416.png,3
417.png,2
418.png,1
419.png,1
42.png,2
420.png,1
421.png,1
422.png,3
423.png,1
424.png,5
425.png,1
426.png,1
427.png,1
428.png,2
429.png,2
43.png,2
430.png,3
431.png,5
432.png,1
433.png,1
434.png,4
435.png,1
436.png,7
437.png,1
438.png,1
439.png,1
44.png,1
440.png,1
441.png,1
442.png,1
443.png,3
444.png,1
445.png,1
446.png,1
447.png,1
449.png,4
45.png,1
450.png,1
451.png,2
452.png,1
453.png,1
454.png,4
455.png,20
456.png,1
457.png,1
458.png,1
459.png,1
